n,p,f,x,y,z,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,g1,g2,l1,l2,l3,l4,e1,e2,cent_price_cor,cent_trans_cor
666,0.8,0.3,14,19,4,3.1,0.15,2.9,0.27,3.4,0.15,1.9,0.17,1,0.25,3.3,0.23,0.058,1.9,0.106,1.6,0,1.7,0.8,0.3,-0.037,0.178
793,0.8,0.4,30,22,3,1.7,0.15,1,0.12,4.3,0.13,4.6,0.23,1.1,0.29,3.8,0.17,0.054,1.7,0.014,0.5,0.062,0.9,0.5,2.1,-0.023,0.017
303,0.6,0.5,25,12,2,3.9,0.26,2.1,0.23,4.7,0.17,1.6,0.22,2,0.2,4.4,0.3,0.13,0.8,0.046,1.7,0.001,1,1.8,1.1,-0.096,0.292
526,0.7,0.4,21,25,9,5,0.11,2.8,0.2,3.7,0.12,1.6,0.21,4.2,0.11,3.7,0.11,0.177,0.7,0.014,1.9,0.043,1.9,2.5,1.8,-0.298,0.432
473,0.6,0.4,29,11,3,2.6,0.16,4.8,0.3,3.1,0.29,1.3,0.26,5,0.1,4,0.26,0.069,2,0.01,1.8,0.024,0.9,2.1,1.2,-0.178,0.367
713,0.7,0.4,26,12,3,3.1,0.19,4.3,0.29,4.4,0.11,4.9,0.25,3.9,0.25,5,0.22,0.195,2,0.142,0.9,0.085,1.4,1.5,1.2,0.005,0.318
620,0.6,0.4,29,23,4,4.3,0.17,2.3,0.25,1.5,0.19,1.9,0.17,4.9,0.18,3.2,0.16,0.104,0.7,0.065,1.1,0.015,1.2,1.6,1.4,-0.163,0.203
487,0.8,0.4,11,29,7,3,0.1,2.5,0.22,2.3,0.12,4.3,0.22,1.8,0.29,3.8,0.15,0.026,1.8,0.052,1.3,0.099,1.2,0.2,2.9,-0.276,0.45
721,0.6,0.3,12,25,5,3.2,0.13,3.5,0.28,3,0.27,1.9,0.3,1.4,0.16,1.5,0.1,0.197,0.7,0.193,1.4,0.052,1.8,2,0.4,-0.316,0.453
292,0.6,0.4,28,10,1,1.9,0.14,3.5,0.21,4.2,0.15,3.8,0.12,3.2,0.21,4.6,0.23,0.15,1.6,0.143,0.9,0.068,1.1,0.8,1.8,-0.34,0.441
489,0.9,0.4,11,22,8,2,0.22,4.7,0.23,4.1,0.18,1,0.19,2.3,0.23,2.1,0.24,0.127,1.2,0.061,1.7,0.069,1.6,1.8,2,0.023,-0.019
143,0.8,0.5,14,14,1,3.2,0.2,2.7,0.15,3.5,0.2,3.2,0.24,1.3,0.24,3.8,0.26,0.158,1.8,0.174,1.2,0.044,1.9,2.7,2.3,-0.153,0.26
193,0.9,0.4,20,21,3,2.3,0.26,4.3,0.15,4.1,0.19,4.2,0.11,3.4,0.14,1.7,0.17,0.168,1.9,0.017,0.9,0.079,0.6,1.5,0.7,-0.172,0.437
888,0.9,0.5,15,21,6,3.2,0.13,2.9,0.25,3.8,0.19,1.8,0.24,1.2,0.14,4.3,0.29,0.056,1.4,0.176,1.6,0.019,0.8,2,2.8,-0.376,0.294
636,0.8,0.5,18,16,8,2.6,0.18,2.6,0.26,1.5,0.29,2.9,0.11,4.7,0.29,2.3,0.18,0.026,1.8,0.147,1.9,0.07,0.5,1.3,2.1,-0.069,0.472
434,0.9,0.3,13,12,6,1.6,0.11,1.5,0.15,3.6,0.21,4,0.24,3.8,0.29,3,0.29,0.12,1.5,0.002,1.1,0.037,1.7,0.6,1.5,-0.366,0.504
747,0.8,0.3,10,28,2,4.2,0.13,2,0.3,3.7,0.14,1.9,0.25,3.1,0.15,4,0.22,0.172,0.7,0.029,1.2,0.016,1.2,2.2,2,-0.394,0.5
261,0.5,0.3,12,12,3,1.6,0.15,3.6,0.11,1.6,0.15,4.9,0.25,1.8,0.1,4.1,0.24,0.098,1.1,0.078,1.3,0.027,1.6,1.3,0.5,-0.056,0.159
902,0.7,0.2,16,27,1,4.1,0.15,4.8,0.28,3.3,0.15,4.8,0.12,4.4,0.17,4.8,0.2,0.152,0.7,0.01,1.9,0.085,1.6,0.7,1,-0.105,0.217
156,0.9,0.2,13,24,9,2.9,0.17,4.6,0.15,4.8,0.15,1.8,0.26,1.8,0.3,1.2,0.29,0.032,0.6,0.192,0.5,0.059,0.7,2.2,2.9,-0.222,0.419
714,0.6,0.5,29,13,7,2.2,0.28,2.1,0.15,2.3,0.2,2.4,0.24,1.3,0.14,4.8,0.17,0.115,1.2,0.139,0.8,0.092,0.9,2.6,0.8,-0.358,0.425
381,0.6,0.3,18,24,4,1,0.14,2.7,0.12,4.3,0.18,1.8,0.25,2,0.19,2.6,0.25,0.065,0.7,0.11,0.7,0.011,1.5,1,1.6,-0.153,0.248
765,0.8,0.4,24,24,8,3.3,0.1,3.5,0.1,3.3,0.28,4.1,0.26,4.1,0.11,2.8,0.15,0.161,1.3,0.054,1.6,0.083,0.5,0.5,2,-0.177,0.295
143,0.8,0.4,24,22,9,1.3,0.13,3.3,0.29,2,0.11,2.2,0.14,3.8,0.25,3.9,0.21,0.188,2,0.019,1.8,0.049,0.6,0.1,2.5,-0.208,0.339
689,0.8,0.2,16,14,9,2.1,0.27,1.2,0.18,2.7,0.1,4.6,0.2,2.2,0.12,1.4,0.13,0.064,2,0.179,0.6,0.092,0.8,2.5,2.5,-0.033,0.148
428,0.6,0.4,12,21,10,4,0.12,4.4,0.29,2.8,0.16,2.8,0.16,3.6,0.29,1.5,0.25,0.127,1,0.153,1.3,0.072,0.8,2.2,1.5,0.012,0.032
476,0.8,0.2,29,28,5,4.5,0.19,1.3,0.25,2.8,0.19,3.7,0.16,3.6,0.26,3.3,0.29,0.066,0.6,0.029,1,0.049,0.7,0.6,3,0.042,0.253
267,0.8,0.5,28,27,7,2.7,0.15,1.7,0.24,3.8,0.22,4.5,0.28,4.9,0.29,4.9,0.2,0.056,0.9,0.105,1.6,0.002,0.5,0.2,1,-0.047,0.22
417,0.5,0.5,11,19,2,1.2,0.22,3.4,0.27,3,0.27,1.9,0.16,1.2,0.16,2.2,0.15,0.008,1.2,0.034,2,0.019,1.7,0.9,0.1,-0.051,0.266
279,0.8,0.3,13,27,8,3.7,0.14,3.8,0.25,2.7,0.24,3.3,0.15,2.2,0.19,2.4,0.18,0.109,0.7,0.181,0.7,0.043,1.9,0.6,0.5,-0.262,0.255
723,0.6,0.3,21,16,2,3.4,0.25,3.6,0.15,1.8,0.23,2.9,0.25,4.1,0.16,1.7,0.12,0.162,0.9,0.02,1.1,0.013,0.7,2.3,0.6,-0.22,0.36
346,0.8,0.3,17,24,5,1.1,0.23,3,0.22,2.2,0.11,1.6,0.2,1.1,0.16,1.8,0.12,0.033,1.5,0.013,0.6,0.034,1.5,0.2,2.1,-0.25,0.374
603,0.7,0.5,20,17,9,4.8,0.18,1.5,0.18,4.6,0.28,1.1,0.17,3.8,0.11,2.8,0.27,0.144,0.9,0.155,1.8,0.078,2,1.4,1.7,-0.177,0.268
596,0.9,0.4,15,15,4,4.5,0.23,3.9,0.15,3,0.17,4.4,0.1,1.5,0.29,4,0.19,0.103,1.2,0.151,0.9,0.068,1.7,1.3,2.3,-0.277,0.409
269,0.5,0.3,21,17,1,4.4,0.21,3.1,0.28,2,0.22,2.4,0.21,1,0.16,2.5,0.16,0.085,1.8,0.185,1.7,0.041,2,2.4,2.7,-0.053,0.448
639,0.6,0.3,27,15,10,4.6,0.28,2.1,0.24,2,0.16,2.1,0.22,3.2,0.17,2.3,0.29,0.038,1.7,0.032,1.3,0.061,0.8,0.5,1.7,-0.23,0.364
381,0.7,0.3,22,30,8,2.5,0.2,2.9,0.22,3.4,0.11,2.6,0.25,1.9,0.28,3.5,0.22,0.12,1.5,0.079,0.6,0.018,0.8,1.8,2.4,-0.167,0.205
172,0.9,0.3,11,21,9,4.2,0.19,3.6,0.14,4.6,0.2,4.9,0.14,1.3,0.25,2.1,0.12,0.065,0.9,0.134,0.9,0.044,1.2,2.1,1.1,-0.245,0.346
466,0.6,0.2,13,13,4,5,0.14,1.6,0.18,1.4,0.11,4.9,0.13,3.1,0.24,3.7,0.23,0.066,0.6,0.025,0.7,0.097,1.8,1.3,1.5,-0.131,0.265
595,0.7,0.5,15,24,10,3.1,0.16,3.1,0.21,2.2,0.16,1.5,0.1,3,0.11,2.3,0.23,0.094,1.5,0.14,1.8,0.018,1.9,1.3,2.1,-0.075,0.268
663,0.8,0.5,24,24,6,1.4,0.28,3.9,0.15,4.5,0.28,1.5,0.22,3.1,0.19,2.4,0.11,0.196,1.5,0.079,0.8,0.069,1.9,2.8,0.3,-0.374,0.357
885,0.6,0.3,12,11,3,4.8,0.1,2.2,0.27,3,0.3,4.3,0.18,3.7,0.18,1.8,0.21,0.005,1.2,0.054,0.5,0.06,0.9,2,0.1,-0.17,0.234
374,0.6,0.2,22,21,9,4.5,0.12,1.1,0.18,1.2,0.18,2.9,0.28,3.5,0.26,4.7,0.14,0.189,1.9,0.038,1.6,0.014,1.4,0.4,1.4,-0.306,0.504
493,0.5,0.5,26,30,2,4,0.27,2.2,0.15,4.4,0.14,2.3,0.21,3.6,0.3,3.2,0.25,0.003,1.7,0.127,0.6,0.055,0.6,2.5,1.2,-0.27,0.435
632,0.8,0.4,30,16,6,4.7,0.16,1.6,0.1,2.9,0.3,4.1,0.22,3.4,0.25,3.9,0.3,0.079,1.3,0.133,1.3,0.049,1.7,2.5,2.7,-0.105,0.365
234,0.5,0.3,13,20,9,4.3,0.11,4.4,0.2,1.4,0.19,2.4,0.25,2.7,0.11,1.6,0.11,0.197,0.8,0.042,0.6,0.039,0.6,0.7,2.1,-0.32,0.473
726,0.8,0.3,22,29,5,4.3,0.11,3.7,0.14,5,0.23,3.8,0.14,2.7,0.17,3.9,0.19,0.08,0.8,0.041,1.2,0.025,1.8,0.7,1.2,-0.245,0.424
597,0.9,0.2,24,18,10,2.6,0.17,3.4,0.21,3.3,0.17,2.4,0.19,3.4,0.13,3.8,0.2,0.081,1.2,0.152,0.8,0.047,1,1.7,2,-0.21,0.407
664,0.5,0.4,11,10,6,1,0.2,2.2,0.17,1.8,0.25,3.9,0.13,5,0.26,1.5,0.12,0.175,1.9,0.14,1.3,0.077,1.6,1.6,2.9,-0.164,0.304
338,0.6,0.4,26,20,9,2.2,0.14,4.8,0.14,3,0.16,4.5,0.14,3.9,0.18,4.7,0.11,0.152,0.6,0.165,1.6,0.016,2,2.3,1.8,-0.156,0.207
453,0.7,0.2,20,20,2,2.3,0.18,1.7,0.21,3.1,0.17,3.8,0.27,3.4,0.21,4.9,0.14,0.121,1,0.005,2,0.012,1.2,1,1,-0.175,0.343
780,0.6,0.4,16,14,3,4,0.2,2.8,0.18,2.9,0.13,3.5,0.17,4.7,0.2,1.6,0.2,0.157,1.8,0.165,1.4,0.034,1.9,0.2,1.7,-0.242,0.359
887,0.6,0.3,12,11,7,1.7,0.27,2.4,0.18,1.4,0.14,2,0.23,4.2,0.13,1.6,0.29,0.077,0.7,0.027,0.6,0.028,0.5,2.7,0.3,-0.239,0.326
736,0.6,0.5,13,22,10,1.9,0.21,1.6,0.24,4.1,0.15,2.5,0.27,4.1,0.12,3.6,0.15,0.139,1.6,0.172,0.8,0.064,0.7,1.4,1.9,-0.347,0.52
911,0.7,0.4,15,19,6,2.4,0.19,2.5,0.18,2.6,0.24,1.8,0.22,4.3,0.15,4.4,0.16,0.104,2,0.107,0.8,0.019,1.7,3,2.7,-0.294,0.396
556,0.6,0.5,28,23,7,4.5,0.19,1.8,0.22,3.4,0.21,2.2,0.21,2.4,0.27,1.4,0.29,0.167,1.6,0.111,1.5,0.033,1.3,2.8,0.4,-0.238,0.369
653,0.9,0.4,21,28,1,1.2,0.14,3.5,0.26,3,0.19,1.9,0.27,4.8,0.21,1.5,0.23,0.04,1.7,0.049,0.5,0.085,1.7,1.7,2.8,-0.221,0.346
588,0.7,0.3,17,27,10,3.5,0.28,3.7,0.14,1.7,0.29,3.3,0.3,3.2,0.24,3.3,0.19,0.043,0.5,0.123,0.9,0.069,0.8,2.6,0.9,-0.244,0.345
915,0.8,0.4,29,13,3,1.9,0.19,4.8,0.15,4.9,0.23,4.5,0.11,4.3,0.3,4.2,0.11,0.102,1,0.156,1.4,0.084,0.9,0.5,0.5,-0.18,0.259
351,0.8,0.3,16,25,9,2.1,0.17,3.9,0.27,1.7,0.17,4,0.27,4.4,0.26,4.1,0.28,0.086,1.9,0.172,1.2,0.007,1.5,2,3,-0.284,0.303
1000,0.8,0.4,24,27,1,1.9,0.17,1,0.17,4.8,0.18,4.8,0.22,4.3,0.26,2.8,0.21,0.042,1.9,0.057,1,0.08,1.8,2.2,0.5,-0.183,0.428
211,0.6,0.2,13,12,5,1.8,0.15,2,0.17,2.2,0.25,3.8,0.24,3.9,0.18,3.2,0.11,0.105,1.7,0.125,0.8,0.01,0.6,1.3,2.1,-0.137,0.374
263,0.8,0.3,28,18,4,3,0.26,2.5,0.12,2.1,0.24,3.6,0.18,3,0.22,3.8,0.2,0.023,1.1,0.159,1,0.07,1.7,1.4,2.3,-0.393,0.495
228,0.9,0.3,30,10,6,3.6,0.13,1.4,0.14,2.1,0.13,1.4,0.3,3.7,0.28,3.7,0.23,0.103,1.6,0.155,0.8,0.056,1.9,2.8,1.4,-0.188,0.41
564,0.7,0.5,29,18,4,4.4,0.27,4.2,0.2,4.1,0.11,4,0.29,4.3,0.29,2.6,0.26,0.056,1.2,0.173,1.4,0.049,1.3,2.6,1,-0.131,0.251
139,0.8,0.2,30,11,8,1.5,0.27,4.4,0.15,1.4,0.15,2.3,0.17,3.2,0.27,2.6,0.23,0.03,1.5,0.056,1.4,0.018,0.9,1,1,-0.296,0.542
981,0.5,0.3,29,11,3,2.8,0.16,3.1,0.1,2.4,0.27,2.4,0.17,2.3,0.1,1.7,0.13,0.105,1.8,0.062,1.9,0.097,0.9,0.5,1.2,-0.154,0.396
637,0.7,0.2,25,23,1,2.1,0.24,1.7,0.23,3.3,0.18,1,0.19,3.6,0.24,1.5,0.28,0.138,1.8,0.069,1.8,0.093,2,2.6,2.6,-0.459,0.513
481,0.7,0.3,19,22,7,1.2,0.3,1.3,0.1,2,0.12,2.1,0.17,1.1,0.19,1.5,0.15,0.116,0.8,0.107,0.7,0.096,1,2.5,0.7,-0.262,0.553
930,0.5,0.4,15,18,3,3.8,0.22,3.2,0.3,1.4,0.15,2.6,0.21,2.8,0.19,3.4,0.23,0.064,1.4,0.047,1,0.027,2,0.1,0.2,-0.296,0.408
449,0.6,0.3,18,25,2,2.9,0.25,1.5,0.29,2.4,0.21,2.9,0.14,1.6,0.21,3.4,0.15,0.178,1.3,0.139,1.6,0.075,0.6,1.8,0.5,-0.287,0.409
173,0.6,0.4,22,28,3,1.7,0.14,4.5,0.18,1.1,0.22,4.8,0.12,4.2,0.1,1.6,0.11,0.083,1.7,0.094,2,0.092,1,1.1,2.6,-0.055,0.161
324,0.7,0.2,10,25,1,2.7,0.23,2.4,0.21,3.8,0.22,3.9,0.3,2,0.19,1.6,0.28,0.155,1.6,0.152,0.7,0.053,1,0.2,0.2,-0.256,0.362
838,0.6,0.2,11,26,3,3.8,0.19,3.5,0.19,3.8,0.28,2.3,0.21,2.5,0.11,3,0.14,0.085,1.9,0.168,0.9,0.004,1.7,2.7,2.8,-0.127,0.388
593,0.6,0.2,30,24,3,4.5,0.24,3.9,0.22,3.8,0.14,3.7,0.14,2,0.18,1.2,0.16,0.183,1.9,0.152,1.3,0.013,1.6,0.9,1,-0.08,0.234
434,0.9,0.4,21,17,1,4.3,0.12,1.9,0.27,3.5,0.18,1.2,0.19,4.9,0.18,3,0.25,0.151,0.7,0.053,0.5,0.047,1.2,0.5,0.7,-0.3,0.415
431,0.7,0.3,22,20,6,1.6,0.3,1.6,0.21,2.1,0.19,2.9,0.19,1.1,0.19,4.5,0.29,0.119,0.9,0.131,0.8,0.074,0.7,1.1,2.9,-0.146,0.443
845,0.8,0.2,27,26,6,1.8,0.11,4.8,0.17,1,0.2,1.9,0.29,2,0.22,4.4,0.14,0.067,1.1,0.087,0.6,0.003,0.6,1.4,0.9,-0.333,0.429
205,0.8,0.2,10,24,2,3.5,0.28,4.2,0.16,1.4,0.14,4,0.12,1.6,0.11,2.1,0.25,0.001,1.9,0.012,1.4,0.013,1.3,2,1.3,-0.335,0.319
115,0.9,0.3,21,14,2,3.1,0.14,2.8,0.16,2,0.29,2.4,0.13,3.9,0.19,1.2,0.27,0.023,1.1,0.188,0.9,0.071,0.9,0.6,0.5,-0.181,0.342
795,0.7,0.4,24,13,10,1.7,0.25,4,0.15,2.3,0.24,2.1,0.24,4.7,0.19,4,0.24,0.038,1.8,0.122,1.1,0.049,1.3,1.7,0.3,-0.219,0.371
156,0.8,0.5,11,29,10,3.9,0.25,2.2,0.2,3.8,0.14,4.5,0.16,2,0.18,2.4,0.25,0.141,2,0.081,0.7,0.017,0.9,1.6,0.6,-0.307,0.417
636,0.8,0.4,10,14,10,1.1,0.13,1.6,0.26,2,0.11,2.6,0.23,1.9,0.12,3.9,0.12,0.121,1.2,0.082,0.6,0.077,2,0.8,1.8,-0.09,0.472
421,0.8,0.3,25,27,8,4.3,0.23,1.9,0.14,1.9,0.11,2.1,0.15,4.7,0.28,2.8,0.26,0.051,1.6,0.011,1.1,0.064,1,0.8,0.8,-0.231,0.365
873,0.6,0.3,13,30,10,1.7,0.21,1.2,0.16,3.4,0.17,2.5,0.22,1.5,0.15,4.8,0.22,0.088,1.5,0.192,2,0.061,1.4,2.4,2.9,-0.168,0.235
306,0.8,0.3,21,30,7,3.6,0.19,4.8,0.18,3.4,0.26,2.9,0.11,4.9,0.27,3.5,0.29,0.081,1.1,0.144,0.6,0.033,1.4,2.5,2.3,-0.167,0.309
461,0.6,0.2,12,25,8,1.6,0.2,2.2,0.2,1.1,0.12,1.6,0.11,2,0.11,2.6,0.16,0.133,1.7,0.015,1.8,0.054,1,1.4,1,-0.14,0.228
296,0.7,0.2,16,29,8,4.6,0.2,3.7,0.25,4.5,0.21,2,0.15,2.9,0.15,3.7,0.15,0.006,1.4,0.072,0.9,0.004,0.9,1.1,0.3,0.025,0.348
481,0.8,0.4,16,17,6,1.9,0.12,3,0.18,1.7,0.24,1.2,0.11,2.2,0.25,4.1,0.12,0.123,0.9,0.153,1.1,0.081,0.6,1.7,0.5,-0.308,0.411
156,0.8,0.3,23,30,4,4.8,0.22,2.4,0.14,1.2,0.2,2,0.19,4.8,0.19,3.4,0.15,0.076,0.7,0.195,1.2,0.048,1.6,1.4,1.4,-0.184,0.39
185,0.7,0.3,23,27,6,1.6,0.16,2.9,0.17,3.2,0.19,3.1,0.25,3.1,0.23,3.8,0.1,0.194,1.9,0.053,0.9,0.035,0.8,1.8,0.3,-0.086,0.393
887,0.7,0.5,13,26,9,2.1,0.17,3.4,0.17,4.8,0.21,4.7,0.2,4.3,0.2,1.1,0.25,0.073,1.3,0.151,1.1,0.069,1.7,2,1.7,-0.275,0.381
527,0.7,0.4,28,27,8,1.6,0.24,4.2,0.28,2.6,0.17,4.9,0.11,1.9,0.14,4.5,0.23,0.191,0.9,0.048,1.9,0.028,1.3,0.5,2.5,-0.239,0.373
102,0.8,0.4,14,22,10,3.5,0.16,1.1,0.29,4.2,0.26,2.1,0.11,2.3,0.16,1,0.17,0.193,0.9,0.076,1.5,0.077,0.7,2.5,2.6,-0.227,0.469
567,0.8,0.4,11,20,7,2.3,0.28,4.5,0.22,3,0.11,3,0.25,4.2,0.1,1.2,0.3,0.12,1.2,0.006,0.9,0.05,0.8,0.7,1.3,-0.273,0.474
686,0.9,0.5,26,25,1,2.6,0.2,1.6,0.3,3.7,0.28,1.3,0.22,3.6,0.11,4.3,0.1,0.127,1.7,0.038,0.8,0.037,1.7,2.2,2.9,-0.308,0.426
192,0.9,0.3,28,10,10,1.5,0.27,2,0.15,2,0.29,4.8,0.2,4.1,0.21,4.6,0.2,0.061,1.1,0.092,1.2,0.061,1.6,0.9,1.6,-0.053,0.17
461,0.5,0.2,16,15,9,3.9,0.16,3,0.3,4.2,0.24,4.2,0.27,1.7,0.18,3.8,0.26,0.169,1.3,0.129,1.6,0.036,1.5,0.3,2.1,-0.14,0.343
360,0.8,0.5,26,29,2,3.7,0.2,4.8,0.14,4.8,0.13,2.2,0.13,3.3,0.25,3.4,0.24,0.172,1.1,0.004,1.1,0.089,1.6,1.7,2.1,-0.208,0.42
673,0.8,0.5,18,14,8,1.9,0.23,2.8,0.29,3,0.12,1.7,0.29,2,0.28,3.5,0.26,0.182,1.7,0.038,1.7,0.07,1.8,0.6,1.6,-0.057,0.151
363,0.9,0.2,14,14,6,4.2,0.16,3.8,0.29,4.6,0.23,1.8,0.22,2,0.11,1.6,0.21,0.051,1.9,0.136,1.1,0.021,0.5,1.2,1.3,-0.177,0.28
929,0.7,0.4,16,25,4,3.9,0.25,2.5,0.13,4.1,0.27,3.9,0.23,2.9,0.13,2.1,0.14,0.032,0.7,0.118,1.7,0.05,1.8,1.5,2.7,-0.141,0.341
384,0.5,0.4,30,16,1,4.4,0.11,4.6,0.14,3.1,0.27,1.8,0.23,3.1,0.13,3.9,0.18,0.108,0.7,0.03,1.3,0.057,0.7,1.9,0.8,-0.144,0.342
327,0.7,0.5,15,30,10,4.8,0.19,4.3,0.23,3.9,0.18,4.4,0.1,4.9,0.3,4.2,0.26,0.006,1,0.117,1.4,0.078,1.8,2.1,0.5,-0.188,0.492
335,0.8,0.4,12,18,6,3.7,0.26,4.1,0.18,2.2,0.13,2.5,0.16,3.3,0.12,2.2,0.11,0.11,1.1,0.116,1,0.049,1.8,0.9,2.9,-0.006,0.115
306,0.9,0.3,12,16,3,4.1,0.15,2.4,0.18,3.4,0.22,4.4,0.19,3.8,0.28,2.2,0.19,0.046,1.3,0.153,1.6,0.062,0.9,1.5,1,-0.118,0.35
970,0.9,0.4,15,26,3,4.4,0.24,2.6,0.23,1.8,0.15,3.1,0.24,3.2,0.27,4.8,0.18,0.186,1.3,0.156,1.5,0.067,0.6,0.5,2.6,-0.221,0.348
818,0.8,0.5,13,14,8,3.1,0.11,1.5,0.18,1.5,0.13,1.2,0.25,2.1,0.2,3.2,0.24,0.014,1.5,0.033,0.7,0.032,1,3,0.9,-0.325,0.445
967,0.8,0.3,14,26,4,4.7,0.24,4.1,0.17,2.5,0.28,3.3,0.29,4,0.17,2.6,0.16,0.093,1.9,0.081,1.4,0.061,1.7,2.5,0.1,-0.204,0.383
243,0.5,0.5,26,13,2,4,0.29,4,0.28,1,0.27,1.3,0.17,4.1,0.19,4.2,0.13,0.16,1.6,0.114,1.4,0.084,1.7,2.7,2.1,-0.252,0.395
555,0.6,0.3,21,12,9,1.6,0.27,5,0.24,1.6,0.21,3,0.29,3.9,0.11,3.1,0.12,0.049,1.5,0.106,1.7,0.029,1.9,1.2,0.4,-0.18,0.271
590,0.8,0.4,21,24,7,1.8,0.13,4.8,0.29,2.2,0.29,2.3,0.22,2.8,0.26,3.8,0.16,0.071,0.6,0.033,1,0.031,1.2,2.3,1.9,-0.034,0.354
685,0.8,0.3,16,26,1,2.8,0.11,3.2,0.14,4.7,0.23,3.6,0.18,4.5,0.2,1.1,0.12,0.109,1.6,0.036,0.8,0.029,0.8,2.9,0.6,-0.218,0.301
931,0.9,0.5,15,20,7,4.7,0.13,3.6,0.17,4.7,0.14,2.4,0.1,4.4,0.11,2.3,0.19,0.105,1.2,0.086,1.5,0.048,1.9,1.7,0.1,-0.162,0.24
450,0.6,0.3,29,14,6,1.8,0.19,4.8,0.22,3.2,0.25,1.3,0.14,1.6,0.27,3.2,0.26,0.003,0.6,0.076,1.5,0.003,1.7,0.3,0.6,-0.225,0.37
464,0.9,0.3,16,16,1,2.2,0.26,2.6,0.26,3.9,0.2,3.1,0.19,3.9,0.12,1,0.22,0.115,1.7,0.138,1,0.082,1.7,0.7,0.6,-0.288,0.418
988,0.8,0.4,28,29,9,3.3,0.17,2.8,0.3,1.1,0.12,3.2,0.22,3.4,0.25,1,0.23,0.14,0.6,0.035,1.7,0.007,0.8,3,2.8,-0.136,0.515
405,0.6,0.2,11,14,5,3.4,0.22,4.4,0.27,3.5,0.24,2.4,0.2,4.8,0.21,4.3,0.24,0.004,1.3,0.185,1.6,0.081,1,2.1,0.6,-0.423,0.522
643,0.9,0.4,21,28,2,3.4,0.12,1.4,0.21,4.8,0.15,3.6,0.22,4.6,0.12,2.6,0.26,0.142,1,0.084,1.1,0.034,1,2,2.2,-0.337,0.43
322,0.8,0.4,20,10,5,2.1,0.24,3.2,0.1,2.8,0.16,1.8,0.16,3.1,0.21,3.6,0.11,0.119,1.2,0.035,0.8,0.099,0.8,0.9,2.1,-0.243,0.343
764,0.6,0.5,27,11,3,3.3,0.2,1.6,0.18,3.8,0.29,3,0.19,1.9,0.15,4,0.19,0.127,1.7,0.152,1.9,0.024,1.6,2,1.6,-0.31,0.417
568,0.6,0.3,25,27,5,4.1,0.29,4.9,0.14,1.2,0.24,4.6,0.15,4.5,0.17,1.9,0.2,0.108,1.1,0.108,0.8,0.056,1.4,2.5,1.4,-0.188,0.405
121,0.6,0.4,28,27,7,4.3,0.28,3.2,0.19,4.6,0.22,2.6,0.18,3.2,0.26,4.8,0.19,0.077,0.8,0.041,0.9,0.008,0.7,1,0.3,-0.308,0.43
567,0.8,0.4,23,24,1,3.6,0.19,3.5,0.27,1.1,0.21,4.3,0.18,2.9,0.19,3.2,0.28,0.185,1.2,0.116,1,0.038,1.6,0.9,1,-0.298,0.434
764,0.7,0.3,16,30,6,4.7,0.21,4.5,0.2,1.9,0.22,3.4,0.1,3.3,0.19,1.3,0.23,0.107,1.9,0.124,1.9,0.01,2,0.4,2.4,-0.222,0.334
694,0.8,0.4,19,17,5,2.6,0.17,1.5,0.27,1.6,0.23,1.2,0.19,4.6,0.25,4.3,0.3,0.139,0.9,0.097,1.1,0.02,1.5,0.5,0.1,-0.155,0.478
579,0.9,0.2,13,17,3,4,0.28,4.7,0.17,3.1,0.2,3.1,0.2,4,0.13,4.8,0.3,0.098,1.2,0.019,0.7,0.091,0.8,2,1.4,-0.136,0.379
323,0.6,0.2,22,12,8,3.1,0.2,3.5,0.28,3.2,0.26,1.7,0.27,4.6,0.17,1.7,0.15,0.095,1.4,0.172,1.4,0.055,0.9,2.3,1.1,-0.279,0.448
978,0.7,0.3,26,14,1,2.1,0.25,4.6,0.15,4.9,0.15,2.1,0.15,1,0.19,2.8,0.14,0.156,0.9,0.124,2,0.099,1,1.1,2.6,-0.072,0.467
567,0.6,0.5,11,20,6,2.1,0.13,4.2,0.22,1.1,0.22,2.9,0.24,4.7,0.26,4.7,0.13,0.054,0.8,0.04,1.8,0.01,1.6,1.2,0.1,-0.362,0.597
533,0.7,0.2,18,23,1,2.5,0.15,1,0.24,1.1,0.28,4.3,0.23,2,0.13,3.9,0.12,0.015,1.7,0.007,1.9,0.075,1.9,1.8,2.9,-0.221,0.262
698,0.7,0.3,14,11,2,4,0.16,3.4,0.25,2.8,0.16,3.1,0.16,2.6,0.28,2.4,0.19,0.181,1,0.132,1.5,0.055,1.2,1.1,1.5,-0.347,0.456
620,0.8,0.4,29,19,3,1.7,0.16,1.6,0.29,1.4,0.1,3.4,0.11,3.4,0.11,4.8,0.21,0.154,0.8,0.2,2,0.032,0.7,1.3,1.2,-0.241,0.428
355,0.7,0.4,29,26,6,3,0.26,1.6,0.23,3.9,0.26,4.8,0.28,3.2,0.18,3.8,0.24,0.052,0.6,0.178,0.8,0.038,1.8,1.3,0.6,-0.148,0.312
416,0.7,0.5,22,11,3,4.1,0.11,2.1,0.18,2.7,0.11,3.4,0.24,4.3,0.11,2.9,0.21,0.18,0.7,0.152,1.6,0.037,1.6,1.3,1.9,-0.169,0.297
